Positive,Negative,Neutral,adj_price,close_price
0.089,0.14,0.77,13311.730469,13311.730469
0.082,0.123,0.795,13371.719727,13371.719727
0.1,0.115,0.784,13352.669922,13352.669922
0.067,0.127,0.805,13333.620117,13333.620117
0.094,0.106,0.801,13314.570312,13314.570312
0.107,0.158,0.735,13248.730469,13248.730469
0.082,0.132,0.786,13444.959961000002,13444.959961000002
0.096,0.183,0.721,13619.889647999998,13619.889647999998
0.098,0.184,0.718,13625.580078,13625.580078
0.127,0.157,0.716,13659.396809666667,13659.396809666667
0.116,0.138,0.746,13693.213541333334,13693.213541333334
0.067,0.078,0.855,13727.030272999998,13727.030272999998
0.097,0.123,0.78,13432.769531,13432.769531
0.047,0.108,0.846,13473.900391,13473.900391
0.098,0.152,0.75,13517.959961000002,13517.959961000002
0.075,0.087,0.838,13339.849609,13339.849609
0.083,0.187,0.729,13282.299804333335,13282.299804333335
0.126,0.102,0.772,13224.749999666668,13224.749999666668
0.084,0.118,0.798,13167.200195,13167.200195
0.092,0.099,0.809,13232.469727,13232.469727
0.119,0.15,0.731,13207.269531,13207.269531
0.064,0.084,0.851,13245.639648,13245.639648
0.138,0.13,0.732,13450.650391,13450.650391
0.112,0.142,0.746,13483.780273666665,13483.780273666665
0.082,0.073,0.845,13516.910156333333,13516.910156333333
0.076,0.079,0.845,13550.040038999998,13550.040038999998
0.09,0.15,0.759,13550.8652345,13550.8652345
0.105,0.17,0.725,13551.69043,13551.69043
0.099,0.199,0.702,13359.610352,13359.610352
0.107,0.137,0.756,13365.870117,13365.870117
0.118,0.14,0.741,13332.186848666664,13332.186848666664
0.112,0.104,0.784,13298.503580333336,13298.503580333336
0.117,0.11,0.773,13264.820312,13264.820312
0.116,0.143,0.741,13154.3901365,13154.3901365
0.098,0.136,0.767,13043.959961,13043.959961
0.08,0.098,0.822,13056.719727,13056.719727
0.071,0.102,0.828,12800.179688,12800.179688
0.091,0.11,0.799,12809.283203333334,12809.283203333334
0.093,0.133,0.774,12818.386718666667,12818.386718666667
0.051,0.08,0.869,12827.490234,12827.490234
0.09,0.141,0.769,12589.070312,12589.070312
0.086,0.152,0.762,12735.30957,12735.30957
0.076,0.122,0.801,12853.089844,12853.089844
0.092,0.099,0.809,12606.299805,12606.299805
0.085,0.163,0.751,12663.583333666667,12663.583333666667
0.072,0.189,0.739,12720.866862333332,12720.866862333332
0.066,0.097,0.837,12778.150391,12778.150391
0.095,0.146,0.759,12501.110352,12501.110352
0.098,0.148,0.754,12466.160156,12466.160156
0.1,0.13,0.769,12159.209961,12159.209961
0.124,0.147,0.729,12099.299805,12099.299805
0.083,0.18,0.737,12067.27246125,12067.27246125
0.092,0.115,0.793,12035.2451175,12035.2451175
0.078,0.175,0.747,12003.21777375,12003.21777375
0.085,0.118,0.797,11971.19043,11971.19043
0.119,0.148,0.734,12270.169922,12270.169922
0.097,0.16,0.743,12378.610352,12378.610352
0.086,0.131,0.783,12207.169922,12207.169922
0.11,0.101,0.789,12266.076497333332,12266.076497333332
0.097,0.159,0.744,12324.983072666664,12324.983072666664
